Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Rauhreif,1963,N/A,N/A,89 min,Drama,Hans-Erich Korbschmitt,"Hans-Erich Korbschmitt, Helga Korff-Edel, Bernhard Seeger","Horst Weinheimer, Armin Mueller-Stahl, Annekathrin Bürger",N/A,German,East Germany,N/A,https://m.media-amazon.com/images/M/MV5BMjI1YWUxNmItZDM3Yy00YzlhLWFhMzEtM2E2MTc5ZmU5NzRjXkEyXkFqcGdeQXVyMjE4MTIyNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,19,tt1309482,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Reeker,2005,Unrated,17 Feb 2006,90 min,"Horror, Mystery, Thriller",Dave Payne,Dave Payne,"Devon Gummersall, Derek Richardson, Tina Illman",Strangers trapped at an eerie travel oasis in the desert must unravel the mystery behind their visions of dying people while they are preyed upon by a decaying creature.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTI0ODY5MDU0M15BMl5BanBnXkFtZTcwNTU2NjczMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,5.1,"11,294",tt0393635,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Rebelde sin causa,1990,N/A,N/A,N/A,"Documentary, Short",Alberto Cortés,N/A,N/A,N/A,Spanish,Mexico,N/A,N/A,[],N/A,N/A,N/A,tt0406172,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Reconstrucción,2015,N/A,25 Feb 2015,N/A,Documentary,Leandro Ipiña,Andrés Maino,N/A,N/A,Spanish,Argentina,N/A,N/A,[],N/A,N/A,N/A,tt8290076,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Quemar las naves,2007,PG-13,04 Apr 2008,100 min,Drama,Francisco Franco Alba,"Francisco Franco Alba, María Renée Prudencio","Irene Azuela, Ángel Onésimo Nevares, Claudette Maillé","Eugenia is a former pop singer who is bedridden and dying of cancer. Her 19 year old daughter Helena dreams of traveling the world and learns foreign languages at home and wishes she could be a glamorous pop star like her mother was. Helena cares for her mother with the help their house maid Chaya who also keeps the aging house in working order. Sebastian is Helena's teenage brother who attends a Catholic high school run by a Monsignor who plays classical music over the loudspeakers thinking it will calm down the boisterous kids. Sebastian's dreams are simple and he merely wants to move to the beach. Helena is smart and pretty but she has no friends, male or female and is totally devoted to her mother's care and is also on the verge of initiating an incestuous relationship with Sebastian. Sebastian however, is falling in love with a boy at school named Juan who is the school roughneck and the son of a single father who owns a little bar...",Spanish,Mexico,6 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNjhjNmE0ZWYtMjM5YS00ZDNmLThmNjQtMjMzMTY3M2ZkY2MyXkEyXkFqcGdeQXVyNTMzOTU3NzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,784,tt1125914,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Quince minutos en España,1935,N/A,N/A,N/A,Short,Heinrich Gärtner,N/A,N/A,N/A,N/A,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0026906,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Regreso a Casa,2020,N/A,08 Dec 2020,25 min,"Short, Drama",Rafael Tres,Rafael Tres,"Ernesto Molina, Werner Ulises Morales, Daniela Ovando",N/A,Spanish,Guatemala,N/A,N/A,[],N/A,N/A,N/A,tt13680304,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Relaciones prohibidas,1995,N/A,N/A,90 min,Action,N/A,N/A,"Jorge Aldama, Alfredo Gutiérrez, Valeria Palmer",N/A,Spanish,Mexico,N/A,N/A,[],N/A,N/A,N/A,tt0922579,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Relaciones Peligrosas,2012–,N/A,23 Jan 2012,N/A,"Drama, Romance, Thriller",N/A,N/A,"Sandra Echeverría, Gabriel Coronel, Ana Layevska",She's a dedicated high school teacher. But that doesn't stop her from crossing the line into the forbidden love zone.,Spanish,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTU1NDdkZDctYTc3OC00MGZmLWI5ZDMtOTk1NjdmOWE4Y2E0XkEyXkFqcGdeQXVyMjczNzQ4MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,223,tt2111001,series,,,,,True,CINE.pdf,1
Repulsion,1965,Not Rated,03 Oct 1965,105 min,"Drama, Horror, Thriller",Roman Polanski,"Roman Polanski, Gérard Brach, David Stone","Catherine Deneuve, Ian Hendry, John Fraser","In London, Belgian immigrant Carol Ledoux shares an apartment with her older sister Helen, and works as a manicurist at a beauty salon. Helen uses the word ""sensitive"" to describe Carol's overall demeanor, which is almost like she walks around in a daze, rarely speaking up about anything. When she does speak up, it generally is about something against one of those few issues on which she obsesses, such as Helen's boyfriend Michael's invasion of her space at the apartment. That specific issue may be more about men in general than just Michael's actions, as witnessed by Carol being agitated by hearing Helen and Michael's lovemaking, and she not being able to rebuff the advances effectively of a male suitor, Colin, who is infatuated with her. One of those other obsessive issues is noticing cracks and always wanting to fix them. While Helen and Michael leave on a vacation to Pisa, Italy, Carol chooses largely to lock herself in the apartment, ditching work. There, she is almost hypnotized by her solitude, which leads to her mental state deteriorating as those obsessions come to the fore. She quickly descends into madness, which ultimately also affects those that are trying to get in touch with her.",English,United Kingdom,Nominated for 1 BAFTA Award2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BOTE0YzBjNWEtZTE4NC00ZmM5LTllZmUtZGYwOGFlYWVjOGU2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,7.6,"59,958",tt0059646,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Retrato de Teresa,1979,N/A,27 Nov 1981,103 min,Drama,Pastor Vega,"Ambrosio Fornet, Pastor Vega","Idalia Anreus, Miguel Benavides, Samuel Claxton","Teresa is overwhelmed: with a husband, three young sons, a job as a crew leader in a textile factory, and volunteer commitments as cultural leader of her union. Her husband, Ramón, wants more of her attention; her feelings are mixed, wanting domestic peace, feeling responsibilities to the revolution, and wanting to control her own life beyond doing dirty dishes. They separate; he begins an affair. When he wants a reconciliation, she asks what his response would be if she'd had an affair too. ""But men are different,"" is his reply. He's failed her test, and to hold on to independence and self-respect, she remains uncompromising and hard-edged.",Spanish,Cuba,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjMzMjA5NzM4MV5BMl5BanBnXkFtZTgwMDM0NjIzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,158,tt0076619,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Revolución,2010,Not Rated,11 May 2011,105 min,Drama,"Mariana Chenillo, Fernando Eimbcke, Amat Escalante",Mauricio Katz,"Yolanda Abbud L., Adriana Barraza, Mónica Bejarano","Made up of 10 short films, 'Revolucion' analyzes through the eyes of the directors what is the revolution today and what it means to the young minds of Mexico.",Spanish,Mexico,2 wins,https://m.media-amazon.com/images/M/MV5BOTVmN2FhMjMtMDY4Mi00ODcxLWJlODItNzkxMDVlYWQ4Nzg3XkEyXkFqcGdeQXVyNDA5NDY4MzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,395,tt1578267,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Rey De Reyes,2021,N/A,26 Jan 2021,N/A,Biography,Marc Visa,N/A,"Jorge Garbajosa, Pau Gasol, Sergio Llull",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BMmI3N2IzZTUtM2E4Mi00MzU5LWEzODktNzk2NzZmYTRhNzcxXkEyXkFqcGdeQXVyNDk0NjY0MDE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt31150048,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
La Red Social,2011,N/A,30 Jan 2011,N/A,"Short, Comedy",Ángel Pazos,Ángel Pazos,"Secun de la Rosa, Elsa Pinilla",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BNjYzMzQyY2YtZWNlZi00Njk4LWExNjItNGY1NzhmY2IzNDE2XkEyXkFqcGdeQXVyNjQ5MDA3NjE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt4626112,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Robin Hood,2010,PG-13,14 May 2010,140 min,"Action, Adventure, Drama",Ridley Scott,"Brian Helgeland, Ethan Reiff, Cyrus Voris","Russell Crowe, Cate Blanchett, Matthew Macfadyen","Birth of a legend. Following King Richard's (Danny Huston's) death in France, archer Robin Longstride (Russell Crowe), along with Will Scarlet (Scott Grimes), Allan A'Dayle (Alan Doyle), and Little John (Kevin Durand), returns to England. They encounter the dying Sir Robert Loxley (Douglas Hodge), whose party was ambushed by treacherous Godfrey (Mark Strong), who hopes to facilitate a French invasion of England. Robin promises the dying knight he will return his sword to his father Sir Walter Loxley (Max von Sydow) in Nottingham. Here, Sir Walter encourages him to impersonate the dead man to prevent his land being confiscated by the crown, and he finds himself with Marion (Cate Blanchett), a ready-made wife. Hoping to stir baronial opposition to weak Prince John (Oscar Isaac) and allow an easy French take-over, Godfrey worms his way into the Prince's service as Earl Marshal of England and brutally invades towns under the pretext of collecting Royal taxes. Can Robin navigate the politics of barons, royals, traitors, and the French?","English, French, Ukrainian","United Kingdom, United States",1 win & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.6,"294,277",tt0955308,movie,N/A,"$105,269,730",N/A,N/A,True,CINE.pdf,
Un español en la corte del rey Arturo,1964,N/A,N/A,48 min,"History, Musical",Fernando García de la Vega,"Fernando García de la Vega, Mark Twain","Luis Varela, Judy Stephen, Blas Martín",Short documentary from the series Escala en Hi-Fi.,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BNjA4YWY1NWUtNWJlOC00Nzg5LWIyMDQtODkyNWU4NDlkZGU2XkEyXkFqcGdeQXVyMTM2Mzg4MA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0137502,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
RoboCop,1987,R,17 Jul 1987,102 min,"Action, Crime, Sci-Fi",Paul Verhoeven,"Edward Neumeier, Michael Miner","Peter Weller, Nancy Allen, Dan O'Herlihy","In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters.",English,United States,Nominated for 2 Oscars. 11 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BZWM1YzRhODktZDE1MC00NzBlLTk0NGMtOGNhZDQyMmJiZGFiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.6,"306,168",tt0093870,movie,N/A,"$53,424,681",N/A,N/A,True,CINE.pdf,
Rocky,1976,PG,03 Dec 1976,120 min,"Drama, Sport",John G. Avildsen,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young","Rocky Balboa is a struggling boxer trying to make the big time, working as a debt collector for a pittance. When heavyweight champion Apollo Creed visits Philadelphia, his managers want to set up an exhibition match between Creed and a struggling boxer, touting the fight as a chance for a ""nobody"" to become a ""somebody"". The match is supposed to be easily won by Creed, but someone forgot to tell Rocky, who sees this as his only shot at the big time.","English, Spanish, Italian",United States,Won 3 Oscars. 23 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BZDEyY2M2MGMtYjg5OC00ZWFjLWFkZDQtNmQzZTdiYmYzZTBkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,8.1,"683,546",tt0075148,movie,N/A,"$117,235,147",N/A,N/A,True,CINE.pdf,
Ronin,1998,R,25 Sep 1998,122 min,"Action, Crime, Thriller",John Frankenheimer,"J.D. Zeik, David Mamet","Robert De Niro, Jean Reno, Natascha McElhone","Ronin is the Japanese word used for Samurai without a master. In this case, the Ronin are outcast specialists of every kind, whose services are available to everyone - for money. Dierdre (undoubtedly from Ireland) hires several Ronin to form a team in order to retrieve an important suitcase from a man who is about to sell it to the Russians. After the mission has been completed successfully, the suitcase immediately gets switched by a member of the team who seems to work into his own pocket. The complex net of everyone tricking everyone begins to surface slowly, and deadly...","English, French, Russian","United Kingdom, United States",1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BYzU0MDEwOGMtZWFlMy00ZjllLWFmMWQtYWIxN2M1YmU5ZWQwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.2,"204,446",tt0122690,movie,N/A,"$41,616,262",N/A,N/A,True,CINE.pdf,
Rosario Tijeras,2005,R,12 Aug 2005,126 min,"Crime, Drama, Romance",Emilio Maillé,"Marcelo Figueras, Jorge Franco Ramos","Flora Martínez, Unax Ugalde, Manolo Cardona","Two friends meet and are seduced by sensuous hit woman Rosario Tijeras. Full of hatred, violence is her way of life. The trio loose themselves in a passionate love triangle where the pain of love will be confused with that of death.",Spanish,"Colombia, Mexico, Spain, Brazil",3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZjVjNmIwMDAtZjNlNC00NjE0LTgxZWQtZDQwZDA2NTM5MmFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"2,562",tt0382271,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Rudo y Cursi,2008,R,15 May 2009,103 min,"Comedy, Drama, Sport",Carlos Cuarón,Carlos Cuarón,"Gael García Bernal, Diego Luna, Guillermo Francella","Mexican half-brothers Beto and Tato--who will eventually be appropriately nicknamed Rudo (rough) and Cursi (corny)--have a typical love/hate relationship. They both work on a banana plantation and live with their extended family consisting of their mother, abusive stepfather, sister Nadia, and Beto's wife Toña and their children. The family are rural peasant class and are barely making ends meet. The brothers' fortunes change when into their lives comes Batuta, a soccer scout. Despite their advancing ages, both Beto and Tato are naturally gifted at soccer, Beto as a goaltender and Tato as a striker. Playing professionally has always been Beto's dream, although Tato has other professional thoughts. Batuta eventually recruits both for different teams in Mexico City. Beto's and Tato's fortunes rise and fall, the falls based on things which hold more passion for the brothers--Tato loves fast women, specifically television spokesmodel Maya, but he loves singing even more. He would give up his soccer career for one in Mexican country singing, if only he was any good. Beto's passion is gambling. Although Beto is upfront and straightforward about most things, he would lie and cheat to hide his gambling problem and debts. They just need to keep these alternate passions in check to make their soccer lives lucrative ones.",Spanish,Mexico,1 win & 9 nominations,https://m.media-amazon.com/images/M/MV5BMjAxNzUwMzUzOV5BMl5BanBnXkFtZTcwMzAwNTE0Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.7,"9,426",tt0405393,movie,N/A,"$1,827,660",N/A,N/A,True,CINE.pdf,
Sahara,2005,PG-13,08 Apr 2005,124 min,"Action, Adventure, Comedy",Breck Eisner,"Clive Cussler, Thomas Dean Donnelly, Joshua Oppenheimer","Matthew McConaughey, Penélope Cruz, Steve Zahn","Retired US admiral Sandecker's foundation finances various projects worldwide, including high tech marine salvage by brilliant Dirk Pitt's US Navy Seal veterans team including buddy Al Giordino, which dreams of finding the mysteriously missing Confederal gold aboard the ironclad battleship 'of Death'. Pitts bumps into evidence for his theory it crossed the Atlantic up the river Niger, where the admiral has an environmental project. Alas, it's a West African dictatorship where the ruthless president suppresses the desert people, in league with billionaire French energy industrialist Yves Massarde. Saving reckless WHO epidemics researcher Dr. Eva Rojas, he learns the secret abducted tribal slaves-run waste plant's toxic output threatens, through an underground fluvial system, to pollute the ocean and hence cause a global killer epidemic.","English, French, Arabic","United Kingdom, France, Germany, Spain, United States",2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjExOTM4NDUzNV5BMl5BanBnXkFtZTcwOTgzNzczMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,6.1,"108,721",tt0318649,movie,N/A,"$68,671,925",N/A,N/A,True,CINE.pdf,
Salaam Bombay!,1988,Not Rated,07 Oct 1988,113 min,"Crime, Drama",Mira Nair,"Mira Nair, Sooni Taraporevala, Hriday Lani","Shafiq Syed, Anjaan, Amrit Patel","Young Krishna's mother abandons him at the Apollo Circus and informs him that he can only return home when he can afford 500 rupees to pay for his brother's bicycle that he destroyed. The circus then leaves Krishna behind and he takes a train to Bombay, where he works delivering tee for Chacha's street bar and being called ""Chaipau"" by the local street children. He befriends heroin addict and drug dealer Chillum, and young Manju Golub, the daughter of Baba Golub and prostitute Rekha Golub. Krishna dreams of saving 500 rupees to return home, but Bombay street life isn't easy.","Hindi, English","India, United States, France, United Kingdom",Nominated for 1 Oscar. 13 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BODM1OTM2ZjUtMmQ3ZS00MmYwLWJiMTgtODY0Mjg5ZjgzYjJlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.9,"10,411",tt0096028,movie,N/A,"$2,080,046",N/A,N/A,True,CINE.pdf,
Samurai Rebellion,1967,Not Rated,01 Dec 1967,128 min,Drama,Masaki Kobayashi,"Shinobu Hashimoto, Yasuhiko Takiguchi","Toshirô Mifune, Yôko Tsukasa, Gô Katô","During peace in 1725, aging swordsman Isaburo is living a henpecked life when his clan lord requests that Isaburo's son marry the lord's mistress, with whom he's displeased, even though she's born him a son. Isaburo wants to refuse, but his son Yogoro accepts the woman, Ichi, and they fall deeply in love. Their love renews Isaburo, so when the clan lord's elder son dies and the lord sends for Ichi to return to his side as mother of his heir, Isaburo opposes his lord. Yogoro and Ichi, who now have a baby daughter, stand with him. The clan orders their suicide, then sends soldiers to kill them. Isaburo's only hope is to take his case to Edo to expose the clan's cruelty. Can he?",Japanese,Japan,7 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BY2MyYmQxODEtNDk3Mi00Mjc2LTgxMTMtNWQyZmIzYjA4MzgyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,8.3,"15,530",tt0061847,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Sangre,2020,N/A,03 Dec 2020,102 min,Drama,Juan Schnitman,"Juan Barberini, Agustina Liendo, Juan Schnitman","Juan Barberini, Natalia Tena, Bella Camero","Fernando works in an oil tanker that connects two major Argentinian cities. He has a young girlfriend in one and a married lover in the other. As they both become pregnant, his life starts to disintegrate into obsession and violence.","English, Portuguese, Spanish","Argentina, Spain, Brazil, Germany, France",1 nomination total,https://m.media-amazon.com/images/M/MV5BYjE1MDg4MTktYjFmYi00YWZmLTlmMWUtYTBhOTM1NTkyY2JiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,159,tt10504776,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Sanson y Dalila,1989,N/A,04 Jul 1989,N/A,"Drama, Music",N/A,Ferdinand Lemaire,"Agnes Baltsa, Plácido Domingo, Alain Fondary",N/A,French,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,6,tt0278008,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Santitos,2016,N/A,N/A,11 min,"Short, Comedy, Drama",Angel Maldonado,"Angel Maldonado, Mario Solorzano","Eduardo Bahr, Miguel Lardizabal, Angelica Merlo","Santos, a taxi driver, must fulfill the promise he made to his mother before he died: make peace with his father, whom he never knew.",Spanish,Honduras,N/A,https://m.media-amazon.com/images/M/MV5BMmE5OWU0NDYtOGI0NC00OTdkLWExNDctMTlhOTFjYTFlMjAxXkEyXkFqcGdeQXVyNDA1OTE2NjU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt8526342,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Santo,2022–,TV-MA,16 Sep 2022,N/A,"Action, Crime, Drama",N/A,Carlos López,"Raúl Arévalo, Bruno Gagliasso, Victoria Guerra","Santo is a drug dealer whose face has never been revealed. Two policemen who go after him, Millán and Cardona, radically opposed, will have to learn to collaborate to solve the case and keep their lives safe.","Spanish, Portuguese",Spain,1 nomination,https://m.media-amazon.com/images/M/MV5BMjE4ODYyNzctNWFhMi00Mzc4LWI4ZTYtYjUzNDk0YzIzOTFiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,"1,127",tt14278524,series,,,,,True,CINE.pdf,1
Satyricon,1969,R,11 Mar 1970,129 min,"Drama, Fantasy",Federico Fellini,"Petronius, Federico Fellini, Bernardino Zapponi","Martin Potter, Hiram Keller, Max Born","In first-century Rome, two student friends, Encolpio and Ascilto, argue about ownership of the boy Gitone, divide their belongings, and split up. and split up. Allowed to choose who he goes with, the boy chooses Ascilto. Only a sudden earthquake saves Encolpio from suicide, and from there he has a series of adventures; eventually he reunites with Ascilto and they help a man kidnap a hermaphrodite demi-god from a temple. The god dies, and as punishment Encolpio becomes impotent and they search for a cure. The film is loosely based on the book Satyricon by Gaius Petronius Arbiter, the ""Arbiter of Elegance"" in the court of Nero. The book has only survived in fragments, and the film reflects this by being very fragmentary itself, even stopping in mid-sentence.","Italian, Latin","Italy, France",Nominated for 1 Oscar. 5 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BYTIyMGI0MjItZGE4Ni00OWE3LWI0ZjItNWRhOGI1YmMwNWFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}]",N/A,6.8,"18,039",tt0064940,movie,N/A,"$1,135,943",N/A,N/A,True,CINE.pdf,
Scaramouche,1952,Approved,27 Jun 1952,115 min,"Action, Adventure, Comedy",George Sidney,"Ronald Millar, George Froeschel, Rafael Sabatini","Stewart Granger, Janet Leigh, Eleanor Parker","Andre-Louis Moreau is a nobleman's bastard in the days of the French revolution. Noel, the Marquis de Mayne, a nobleman in love with the Queen, is ordered to seek the hand of a young ingenue, Aline, in marriage. Andre also meets Aline, and forms an interest in her. But when the marquis kills his best friend Andre declares himself the Marquis's enemy and vows to avenge his friend. He hides out, a wanted man, as an actor in a commedia troupe, and spends his days learning how to handle a sword. When de Maynes becomes a spadassinicide, challenging opposing National Assembly members to duels they have no hope of winning, Andre becomes a politician to protect the third estate (and hopefully ventilate de Maynes).",English,United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BN2Q5MTA3YWEtM2M3ZC00NDIzLWFjYWQtYTBjNGY4YjEzMGI3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"6,562",tt0045125,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Sanctum,2011,R,04 Feb 2011,108 min,"Action, Adventure, Drama",Alister Grierson,"John Garvin, Andrew Wight","Rhys Wakefield, Allison Cratchley, Christopher James Baker","The 3-D action-thriller Sanctum follows a team of underwater cave divers on a treacherous expedition to the largest, most beautiful and least accessible cave system on Earth. When a tropical storm forces them deep into the caverns, they must fight raging water, deadly terrain and creeping panic as they search for an unknown escape route to the sea. Master diver Frank McGuire has explored the South Pacific's Esa-ala Caves for months. But when his exit is cut off in a flash flood, Frank's team-including 17-year-old son Josh and financier Carl Hurley are forced to radically alter plans. With dwindling supplies, the crew must navigate an underwater labyrinth to make it out. Soon, they are confronted with the unavoidable question: Can they survive, or will they be trapped forever?",English,"Australia, United States",1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTM4MjY1NTEyNV5BMl5BanBnXkFtZTcwMTc3MjcxNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,5.9,"58,118",tt0881320,movie,N/A,"$23,209,310",N/A,N/A,True,CINE.pdf,
Se busca,1995–1996,N/A,15 Sep 1995,90 min,Reality-TV,N/A,N/A,José Antonio Gavira,N/A,Spanish,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0381801,series,,,,,True,CINE.pdf,N/A
Se permuta,1985,N/A,01 Dec 1985,103 min,Comedy,Juan Carlos Tabío,Juan Carlos Tabío,"Mario Balmaseda, Rini Cruz, Rosita Fornés","Gloria, Yolanda's mother, exchanges their old house in Guanabacoa for a modern apartment in Vedado to keep Yolanda away from her boyfriend, but her plans soon backfire.",Spanish,Cuba,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTc2ODE5MTQ1MV5BMl5BanBnXkFtZTgwMTI0NjIzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,88,tt0122700,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Smoking,2018–,N/A,20 Apr 2018,N/A,Crime,N/A,N/A,"Ryûhei Matsuda, Ryo Ishibashi, Tomomi Maruyama","Seeking a greater justice, a band of homeless assassins flays their human targets and delivers the tattooed skins as proof of a contract fulfilled.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BN2RmNmMyN2EtN2NmYy00OTZkLWE4Y2QtMzFjNjk0YTRmZDY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,609,tt8758778,series,,,,,True,CINE.pdf,1
Señales,2020,N/A,30 Jul 2020,4 min,"Short, Biography, Drama",Andrea Orellana,N/A,Blanca Regalado,"Blanca Regalado witnessed the femicide of her sister, Susan Regalado. In this short he recounts the horror that Susan lived with her life partner, with whom she had been married for 21 years and ended up stabbing her in her bed.",Spanish,El Salvador,N/A,https://m.media-amazon.com/images/M/MV5BZjA1ZjVjNzktOWZlOC00MTNlLWExMzUtNzQ0NTNmNDFmM2ZlXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12980578,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
