Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,OriginalTitle
Due Date,2010,R,05 Nov 2010,95 min,"Comedy, Drama",Todd Phillips,"Alan R. Cohen, Alan Freedland, Adam Sztykiel","Robert Downey Jr., Zach Galifianakis, Michelle Monaghan","Businessman and first time father (to-be), Peter Highman, is in Atlanta heading home to LA, where his wife is about to give birth, but after getting kicked off a plane, due to his seat mate, the pair end up trying to hitch a ride to the west coast.","English, Spanish",United States,7 nominations total,https://m.media-amazon.com/images/M/MV5BMTU5MTgxODM3Nl5BMl5BanBnXkFtZTcwMjMxNDEwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.5,"370,607",tt1231583,movie,N/A,"$100,539,043",N/A,N/A,True,TODO UN PARTO
Beverly Hills Chihuahua,2008,PG,03 Oct 2008,91 min,"Adventure, Comedy, Drama",Raja Gosnell,"Analisa LaBianco, Jeffrey Bushell","Drew Barrymore, George Lopez, Piper Perabo","Chloe, a diamond-clad ultra-pampered Beverly Hills Chihuahua finds herself being ""puppy-sit"" by the niece, Rachel, of her owner when she leaves for Europe for one of her fashion shows. Rachel is enjoying her aunt's wealthy home but can't resist a weekend trip to Mexico with her friends. With Chloe in tote, Rachel's partying quickly disgusts Chloe and she decides she will go home herself. Chloe quickly gets lost in Mexico and thrown into a dog-fighting ring where she meets Delgado, an ex police K9 who is there and finds himself between his old enemy Diablo, the drug-lord's dog who ruined his career, and Chloe. After saving her and himself, Delgado agrees to help her get home and they begin their journey across Mexico for Beverly Hills. Meanwhile, Rachel has enlisted the help of her Aunt's gardener and Papi, the gardener's Chihuahua who's crazy about Chloe, to help find and save her. At the same time Diablo's master has learned of Chloe's identity and plans on dog-napping her for a big ransom. Along the way Chloe learns of her ancestry, her own strengths, and also finds a little love.",English,"United States, Mexico",3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTI2NzUxNjEzMl5BMl5BanBnXkFtZTcwOTMyNjM4MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,4.0,"26,798",tt1014775,movie,N/A,"$94,514,402",N/A,N/A,True,UN CHIHUAHUA DE BEVERLY HILLS
The Darkest Hour,2011,PG-13,25 Dec 2011,89 min,"Action, Adventure, Horror",Chris Gorak,"Jon Spaihts, Leslie Bohem, M.T. Ahern","Emile Hirsch, Olivia Thirlby, Max Minghella","The American software designers Sean and Ben travel to Moscow to sell their software to investors. However, their Swedish partner Skyler pulls a fast one on Sean and Ben, and they are out of the business. They go to a nightclub, where they meet American Natalie and Australian Anne and they flirt with the girls and see Skyler in the club. Out of the blue, the population is surprised by lights, which they mistake for natural phenomena. But soon, they learn that the lights are aliens invading Earth and using power supply to annihilate mankind. Sean, Ben, Natalie, Anne and Skyler hide in the kitchen and when they leave the place, they seek out survivors on the street. Are they the last people on Earth?","English, Russian","Russia, United States",1 nomination total,https://m.media-amazon.com/images/M/MV5BZGI2MzI3OGMtZmI2NC00YWE5LTkyY2ItNGM3YzA0MjhmMjg5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '18/100'}]",18,4.9,"65,863",tt1093357,movie,N/A,"$21,443,494",N/A,N/A,True,"""ÚLTIMA NOCHE DE LA HUMANIDAD, LA 3D"""
To Save a Life,2009,PG-13,11 Nov 2010,120 min,Drama,Brian Baugh,"Brian Baugh, Jim Britts","Randy Wayne, Deja Kreutzberg, Joshua Weigel","Jake Taylor has everything. He has a beautiful girl, he's the champion in basketball and beer pong, and everyone loves him. Then, an old childhood friend, with whom Jake used to be friends, commits suicide. Jake begins to think. He wonders what he could've done to save his friend's life. A youth minister tells him that Jake needs God. So Jake becomes a Christian. However, things begin to spin out of control. His dad is cheating on his mom, his girlfriend is pregnant, and his former friends ridicule and mock him. During all this, Jake is going to realize just what it means to be a Christian and how to save a life.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMjAzMzgzMDI1OF5BMl5BanBnXkFtZTcwNTg3NjAwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",19,6.8,"5,908",tt1270286,movie,N/A,"$3,777,210",N/A,N/A,True,SALVAR UNA VIDA
Sea Monsters: A Prehistoric Adventure,2007,Unrated,05 Oct 2007,40 min,"Documentary, Animation, Short",Sean MacLeod Phillips,Mose Richards,"Liev Schreiber, Jennifer Aguilar, Michael Ashcraft","Brings to life some of the most bizarre, ferocious and fascinating creatures to ever inhabit the ocean. Combines animation with recreations in a prehistoric adventure. A journey to the bottom of the ancient oceans dramatizes awe-inspiring creatures.","English, Hebrew",United States,3 wins total,https://m.media-amazon.com/images/M/MV5BMjEwODA0ODUzMF5BMl5BanBnXkFtZTcwNTU1MjcwMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.0,"1,101",tt1027743,movie,N/A,"$23,746,066",N/A,N/A,True,MONSTRUOS DEL MAR
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,15 Jul 2011,130 min,"Adventure, Family, Fantasy",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) continue their quest of finding and destroying Voldemort's (Ralph Fiennes') three remaining Horcruxes, the magical items responsible for his immortality. But as the mystical Deathly Hallows are uncovered, and Voldemort finds out about their mission, the biggest battle begins, and life as they know it will never be the same again.","English, Latin","United Kingdom, United States",Nominated for 3 Oscars. 49 wins & 96 nominations total,https://m.media-amazon.com/images/M/MV5BOTA1Mzc2N2ItZWRiNS00MjQzLTlmZDQtMjU0NmY1YWRkMGQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,8.1,"1,035,967",tt1201607,movie,N/A,"$381,884,297",N/A,N/A,True,Harry Potter :y las reliquias de la muerte
Justice League: War,2014,PG-13,04 Feb 2014,79 min,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",Jay Oliva,"Heath Corson, Geoff Johns (comic book: ""Justice League: Origin""), Jim Lee (comic book: ""Justice League: Origin""), Jerry Siegel (character created by: Superman), Joe Shuster (character created by: Superman), Bob Kane (character created by: Batman), William Moulton Marston (character created by: Wonder Woman), Marv Wolfman (character created by: Cyborg), George Pérez (character created by: Cyborg), Jack Kirby (characters created by: Darkseid,  Desaad & Parademons)","Sean Astin, Zach Callison, Christopher Gorham, Justin Kirk",The world's finest heroes found the Justice League in order to stop an alien invasion of Earth.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYzA4ZjA3NzUtNDhjNS00OGNlLWI4ZWUtYzhkMmJiZDU2ZWExXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",N/A,7.3,"31,379",tt3060952,movie,N/A,N/A,N/A,N/A,True,LA LIGA DE LA JUSTICIA: GUERRA
Confessions of a Shopaholic,2009,PG,13 Feb 2009,104 min,"Comedy, Romance",P.J. Hogan,"Tracey Jackson, Tim Firth, Kayla Alpert","Isla Fisher, Hugh Dancy, Krysten Ritter","Struggling with her debilitating obsession with shopping and the sudden collapse of her income source, Rebecca Bloomwood (Isla Fisher) unintentionally lands a job writing for a financial magazine after a drunken letter-mailing mix-up. Ironically writing about the consumer caution of which she has not abided, Rebecca's innovative comparisons and unconventional metaphors for economics grants her critical acclaim, public success, and the admiration of her supportive boss Luke Brandon (Hugh Dancy). But as she draws closer to her ultimate goal of writing for renowned fashion magazine Alette, she questions her true ambitions and must determine if overcoming her ""shopaholic"" condition will bring her real happiness.","English, Finnish, Spanish, French",United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZTk1YmU3OWItM2NjZC00YzRhLWFlZTEtY2ExZGY2MzBkNTYzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.9,"86,621",tt1093908,movie,N/A,"$44,277,350",N/A,N/A,True,LOCA POR LAS COMPRAS
"Crazy, Stupid, Love.",2011,PG-13,29 Jul 2011,118 min,"Comedy, Drama, Romance","Glenn Ficarra, John Requa",Dan Fogelman,"Steve Carell, Ryan Gosling, Julianne Moore","Cal (Steve Carell) and Emily (Julianne Moore) have the perfect life together living the American dream... until Emily asks for a divorce. Now Cal, Mr Husband, has to navigate the single scene with a little help from his professional bachelor friend Jacob Palmer (Ryan Gosling). Make that a lot of help...",English,United States,5 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BMTg2MjkwMTM0NF5BMl5BanBnXkFtZTcwMzc4NDg2NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.4,"601,291",tt1570728,movie,13 Apr 2016,"$84,379,584","Carousel, DiNovi Pictures",N/A,True,LOCO Y ESTÚPIDO AMOR
Transformers,2007,PG-13,03 Jul 2007,144 min,"Action, Adventure, Sci-Fi",Michael Bay,"Roberto Orci, Alex Kurtzman, John Rogers","Shia LaBeouf, Megan Fox, Josh Duhamel","High-school student Sam Witwicky buys his first car, who is actually the Autobot Bumblebee. Bumblebee defends Sam and his girlfriend Mikaela Banes from the Decepticon Barricade, before the other Autobots arrive on Earth. They are searching for the Allspark, and the war on Earth heats up as the Decepticons attack a United States military base in Qatar. Sam and Mikaela are taken by the top-secret agency Sector 7 to help stop the Decepticons, but when they learn the agency also intends to destroy the Autobots, they formulate their own plan to save the world.","English, Spanish",United States,Nominated for 3 Oscars. 25 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BZjM3ZDA2YmItMzhiMi00ZGI3LTg3ZGQtOTk3Nzk0MDY0ZDZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.1,"714,583",tt0418279,movie,N/A,"$319,246,193",N/A,N/A,True,TRANSFORMES
Ghost Rider: Spirit of Vengeance,2011,PG-13,17 Feb 2012,96 min,"Action, Adventure, Fantasy","Mark Neveldine, Brian Taylor","Scott M. Gimple, Seth Hoffman, David S. Goyer","Nicolas Cage, Ciarán Hinds, Idris Elba","Johnny Blaze, a man who made a deal with the Devil who called himself Mephistopheles at the time (now Roarke), is on the run trying to make sure no-one is harmed by his alter ego, The Ghost Rider. He is approached by a Monk named Moreau who tells him that he can help be him free of the Rider, but first, he needs Johnny's help to protect a boy, whom Roarke has plans for, to help him take human form.","English, Romanian","United Arab Emirates, United States",4 nominations total,https://m.media-amazon.com/images/M/MV5BN2FmZGVlNTgtYTllNC00YmUzLTk5YmUtNWNhMzk3ZmE2NmQ0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,4.4,"133,429",tt1071875,movie,N/A,"$51,774,002",N/A,N/A,True,"""VENGADOR FANTASMA 2, EL"""
